state,year,president,party
Arizona,1981,"Reagan, Ronald",Republican
Arizona,1982,"Reagan, Ronald",Republican
Arizona,1983,"Reagan, Ronald",Republican
Arizona,1984,"Reagan, Ronald",Republican
Arizona,1985,"Reagan, Ronald",Republican
Arizona,1986,"Reagan, Ronald",Republican
Arizona,1987,"Reagan, Ronald",Republican
Arizona,1988,"Reagan, Ronald",Republican
Arizona,1989,"Bush, George H.W.",Republican
Arizona,1990,"Bush, George H.W.",Republican
Arizona,1991,"Bush, George H.W.",Republican
Arizona,1992,"Bush, George H.W.",Republican
Arizona,1993,"Bush, George H.W.",Republican
Arizona,1994,"Bush, George H.W.",Republican
Arizona,1995,"Bush, George H.W.",Republican
Arizona,1996,"Bush, George H.W.",Republican
Arizona,1997,"Clinton, Bill",Democrat
Arizona,1998,"Clinton, Bill",Democrat
Arizona,1999,"Clinton, Bill",Democrat
Arizona,2000,"Clinton, Bill",Democrat
Arizona,2001,"Bush, George W.",Republican
Arizona,2002,"Bush, George W.",Republican
Arizona,2003,"Bush, George W.",Republican
Arizona,2004,"Bush, George W.",Republican
Arizona,2005,"Bush, George W.",Republican
Arkansas,1981,"Reagan, Ronald",Republican
Arkansas,1982,"Reagan, Ronald",Republican
Arkansas,1983,"Reagan, Ronald",Republican
Arkansas,1984,"Reagan, Ronald",Republican
Arkansas,1985,"Reagan, Ronald",Republican
Arkansas,1986,"Reagan, Ronald",Republican
Arkansas,1987,"Reagan, Ronald",Republican
Arkansas,1988,"Reagan, Ronald",Republican
Arkansas,1989,"Bush, George H.W.",Republican
Arkansas,1990,"Bush, George H.W.",Republican
Arkansas,1991,"Bush, George H.W.",Republican
Arkansas,1992,"Bush, George H.W.",Republican
Arkansas,1993,"Clinton, Bill",Democrat
Arkansas,1994,"Clinton, Bill",Democrat
Arkansas,1995,"Clinton, Bill",Democrat
Arkansas,1996,"Clinton, Bill",Democrat
Arkansas,1997,"Clinton, Bill",Democrat
Arkansas,1998,"Clinton, Bill",Democrat
Arkansas,1999,"Clinton, Bill",Democrat
Arkansas,2000,"Clinton, Bill",Democrat
Arkansas,2001,"Bush, George W.",Republican
Arkansas,2002,"Bush, George W.",Republican
Arkansas,2003,"Bush, George W.",Republican
Arkansas,2004,"Bush, George W.",Republican
Arkansas,2005,"Bush, George W.",Republican
California,1981,"Reagan, Ronald",Republican
California,1982,"Reagan, Ronald",Republican
California,1983,"Reagan, Ronald",Republican
California,1984,"Reagan, Ronald",Republican
California,1985,"Reagan, Ronald",Republican
California,1986,"Reagan, Ronald",Republican
California,1987,"Reagan, Ronald",Republican
California,1988,"Reagan, Ronald",Republican
California,1989,"Bush, George H.W.",Republican
California,1990,"Bush, George H.W.",Republican
California,1991,"Bush, George H.W.",Republican
California,1992,"Bush, George H.W.",Republican
California,1993,"Clinton, Bill",Democrat
California,1994,"Clinton, Bill",Democrat
California,1995,"Clinton, Bill",Democrat
California,1996,"Clinton, Bill",Democrat
California,1997,"Clinton, Bill",Democrat
California,1998,"Clinton, Bill",Democrat
California,1999,"Clinton, Bill",Democrat
California,2000,"Clinton, Bill",Democrat
California,2001,"Gore, Al",Democrat
California,2002,"Gore, Al",Democrat
California,2003,"Gore, Al",Democrat
California,2004,"Gore, Al",Democrat
California,2005,"Kerry, John",Democrat
Colorado,1981,"Reagan, Ronald",Republican
Colorado,1982,"Reagan, Ronald",Republican
Colorado,1983,"Reagan, Ronald",Republican
Colorado,1984,"Reagan, Ronald",Republican
Colorado,1985,"Reagan, Ronald",Republican
Colorado,1986,"Reagan, Ronald",Republican
Colorado,1987,"Reagan, Ronald",Republican
Colorado,1988,"Reagan, Ronald",Republican
Colorado,1989,"Bush, George H.W.",Republican
Colorado,1990,"Bush, George H.W.",Republican
Colorado,1991,"Bush, George H.W.",Republican
Colorado,1992,"Bush, George H.W.",Republican
Colorado,1993,"Clinton, Bill",Democrat
Colorado,1994,"Clinton, Bill",Democrat
Colorado,1995,"Clinton, Bill",Democrat
Colorado,1996,"Clinton, Bill",Democrat
Colorado,1997,"Dole, Robert",Republican
Colorado,1998,"Dole, Robert",Republican
Colorado,1999,"Dole, Robert",Republican
Colorado,2000,"Dole, Robert",Republican
Colorado,2001,"Bush, George W.",Republican
Colorado,2002,"Bush, George W.",Republican
Colorado,2003,"Bush, George W.",Republican
Colorado,2004,"Bush, George W.",Republican
Colorado,2005,"Bush, George W.",Republican
Connecticut,1981,"Reagan, Ronald",Republican
Connecticut,1982,"Reagan, Ronald",Republican
Connecticut,1983,"Reagan, Ronald",Republican
Connecticut,1984,"Reagan, Ronald",Republican
Connecticut,1985,"Reagan, Ronald",Republican
Connecticut,1986,"Reagan, Ronald",Republican
Connecticut,1987,"Reagan, Ronald",Republican
Connecticut,1988,"Reagan, Ronald",Republican
Connecticut,1989,"Bush, George H.W.",Republican
Connecticut,1990,"Bush, George H.W.",Republican
Connecticut,1991,"Bush, George H.W.",Republican
Connecticut,1992,"Bush, George H.W.",Republican
Connecticut,1993,"Clinton, Bill",Democrat
Connecticut,1994,"Clinton, Bill",Democrat
Connecticut,1995,"Clinton, Bill",Democrat
Connecticut,1996,"Clinton, Bill",Democrat
Connecticut,1997,"Clinton, Bill",Democrat
Connecticut,1998,"Clinton, Bill",Democrat
Connecticut,1999,"Clinton, Bill",Democrat
Connecticut,2000,"Clinton, Bill",Democrat
Connecticut,2001,"Gore, Al",Democrat
Connecticut,2002,"Gore, Al",Democrat
Connecticut,2003,"Gore, Al",Democrat
Connecticut,2004,"Gore, Al",Democrat
Connecticut,2005,"Kerry, John",Democrat
Delaware,1981,"Reagan, Ronald",Republican
Delaware,1982,"Reagan, Ronald",Republican
Delaware,1983,"Reagan, Ronald",Republican
Delaware,1984,"Reagan, Ronald",Republican
Delaware,1985,"Reagan, Ronald",Republican
Delaware,1986,"Reagan, Ronald",Republican
Delaware,1987,"Reagan, Ronald",Republican
Delaware,1988,"Reagan, Ronald",Republican
Delaware,1989,"Bush, George H.W.",Republican
Delaware,1990,"Bush, George H.W.",Republican
Delaware,1991,"Bush, George H.W.",Republican
Delaware,1992,"Bush, George H.W.",Republican
Delaware,1993,"Clinton, Bill",Democrat
Delaware,1994,"Clinton, Bill",Democrat
Delaware,1995,"Clinton, Bill",Democrat
Delaware,1996,"Clinton, Bill",Democrat
Delaware,1997,"Clinton, Bill",Democrat
Delaware,1998,"Clinton, Bill",Democrat
Delaware,1999,"Clinton, Bill",Democrat
Delaware,2000,"Clinton, Bill",Democrat
Delaware,2001,"Gore, Al",Democrat
Delaware,2002,"Gore, Al",Democrat
Delaware,2003,"Gore, Al",Democrat
Delaware,2004,"Gore, Al",Democrat
Delaware,2005,"Kerry, John",Democrat
District of Columbia,1981,"Carter, Jimmy",Democrat
District of Columbia,1982,"Carter, Jimmy",Democrat
District of Columbia,1983,"Carter, Jimmy",Democrat
District of Columbia,1984,"Carter, Jimmy",Democrat
District of Columbia,1985,"Mondale, Walter",Democrat
District of Columbia,1986,"Mondale, Walter",Democrat
District of Columbia,1987,"Mondale, Walter",Democrat
District of Columbia,1988,"Mondale, Walter",Democrat
District of Columbia,1989,"Dukakis, Michael",Democrat
District of Columbia,1990,"Dukakis, Michael",Democrat
District of Columbia,1991,"Dukakis, Michael",Democrat
District of Columbia,1992,"Dukakis, Michael",Democrat
District of Columbia,1993,"Clinton, Bill",Democrat
District of Columbia,1994,"Clinton, Bill",Democrat
District of Columbia,1995,"Clinton, Bill",Democrat
District of Columbia,1996,"Clinton, Bill",Democrat
District of Columbia,1997,"Clinton, Bill",Democrat
District of Columbia,1998,"Clinton, Bill",Democrat
District of Columbia,1999,"Clinton, Bill",Democrat
District of Columbia,2000,"Clinton, Bill",Democrat
District of Columbia,2001,"Gore, Al",Democrat
District of Columbia,2002,"Gore, Al",Democrat
District of Columbia,2003,"Gore, Al",Democrat
District of Columbia,2004,"Gore, Al",Democrat
District of Columbia,2005,"Kerry, John",Democrat
Florida,1981,"Reagan, Ronald",Republican
Florida,1982,"Reagan, Ronald",Republican
Florida,1983,"Reagan, Ronald",Republican
Florida,1984,"Reagan, Ronald",Republican
Florida,1985,"Reagan, Ronald",Republican
Florida,1986,"Reagan, Ronald",Republican
Florida,1987,"Reagan, Ronald",Republican
Florida,1988,"Reagan, Ronald",Republican
Florida,1989,"Bush, George H.W.",Republican
Florida,1990,"Bush, George H.W.",Republican
Florida,1991,"Bush, George H.W.",Republican
Florida,1992,"Bush, George H.W.",Republican
Florida,1993,"Bush, George H.W.",Republican
Florida,1994,"Bush, George H.W.",Republican
Florida,1995,"Bush, George H.W.",Republican
Florida,1996,"Bush, George H.W.",Republican
Florida,1997,"Clinton, Bill",Democrat
Florida,1998,"Clinton, Bill",Democrat
Florida,1999,"Clinton, Bill",Democrat
Florida,2000,"Clinton, Bill",Democrat
Florida,2001,"Bush, George W.",Republican
Florida,2002,"Bush, George W.",Republican
Florida,2003,"Bush, George W.",Republican
Florida,2004,"Bush, George W.",Republican
Florida,2005,"Bush, George W.",Republican
Georgia,1981,"Carter, Jimmy",Democrat
Georgia,1982,"Carter, Jimmy",Democrat
Georgia,1983,"Carter, Jimmy",Democrat
Georgia,1984,"Carter, Jimmy",Democrat
Georgia,1985,"Reagan, Ronald",Republican
Georgia,1986,"Reagan, Ronald",Republican
Georgia,1987,"Reagan, Ronald",Republican
Georgia,1988,"Reagan, Ronald",Republican
Georgia,1989,"Bush, George H.W.",Republican
Georgia,1990,"Bush, George H.W.",Republican
Georgia,1991,"Bush, George H.W.",Republican
Georgia,1992,"Bush, George H.W.",Republican
Georgia,1993,"Clinton, Bill",Democrat
Georgia,1994,"Clinton, Bill",Democrat
Georgia,1995,"Clinton, Bill",Democrat
Georgia,1996,"Clinton, Bill",Democrat
Georgia,1997,"Dole, Robert",Republican
Georgia,1998,"Dole, Robert",Republican
Georgia,1999,"Dole, Robert",Republican
Georgia,2000,"Dole, Robert",Republican
Georgia,2001,"Bush, George W.",Republican
Georgia,2002,"Bush, George W.",Republican
Georgia,2003,"Bush, George W.",Republican
Georgia,2004,"Bush, George W.",Republican
Georgia,2005,"Bush, George W.",Republican
Hawaii,1981,"Carter, Jimmy",Democrat
Hawaii,1982,"Carter, Jimmy",Democrat
Hawaii,1983,"Carter, Jimmy",Democrat
Hawaii,1984,"Carter, Jimmy",Democrat
Hawaii,1985,"Reagan, Ronald",Republican
Hawaii,1986,"Reagan, Ronald",Republican
Hawaii,1987,"Reagan, Ronald",Republican
Hawaii,1988,"Reagan, Ronald",Republican
Hawaii,1989,"Dukakis, Michael",Democrat
Hawaii,1990,"Dukakis, Michael",Democrat
Hawaii,1991,"Dukakis, Michael",Democrat
Hawaii,1992,"Dukakis, Michael",Democrat
Hawaii,1993,"Clinton, Bill",Democrat
Hawaii,1994,"Clinton, Bill",Democrat
Hawaii,1995,"Clinton, Bill",Democrat
Hawaii,1996,"Clinton, Bill",Democrat
Hawaii,1997,"Clinton, Bill",Democrat
Hawaii,1998,"Clinton, Bill",Democrat
Hawaii,1999,"Clinton, Bill",Democrat
Hawaii,2000,"Clinton, Bill",Democrat
Hawaii,2001,"Gore, Al",Democrat
Hawaii,2002,"Gore, Al",Democrat
Hawaii,2003,"Gore, Al",Democrat
Hawaii,2004,"Gore, Al",Democrat
Hawaii,2005,"Kerry, John",Democrat
Idaho,1981,"Reagan, Ronald",Republican
Idaho,1982,"Reagan, Ronald",Republican
Idaho,1983,"Reagan, Ronald",Republican
Idaho,1984,"Reagan, Ronald",Republican
Idaho,1985,"Reagan, Ronald",Republican
Idaho,1986,"Reagan, Ronald",Republican
Idaho,1987,"Reagan, Ronald",Republican
Idaho,1988,"Reagan, Ronald",Republican
Idaho,1989,"Bush, George H.W.",Republican
Idaho,1990,"Bush, George H.W.",Republican
Idaho,1991,"Bush, George H.W.",Republican
Idaho,1992,"Bush, George H.W.",Republican
Idaho,1993,"Bush, George H.W.",Republican
Idaho,1994,"Bush, George H.W.",Republican
Idaho,1995,"Bush, George H.W.",Republican
Idaho,1996,"Bush, George H.W.",Republican
Idaho,1997,"Dole, Robert",Republican
Idaho,1998,"Dole, Robert",Republican
Idaho,1999,"Dole, Robert",Republican
Idaho,2000,"Dole, Robert",Republican
Idaho,2001,"Bush, George W.",Republican
Idaho,2002,"Bush, George W.",Republican
Idaho,2003,"Bush, George W.",Republican
Idaho,2004,"Bush, George W.",Republican
Idaho,2005,"Bush, George W.",Republican
Illinois,1981,"Reagan, Ronald",Republican
Illinois,1982,"Reagan, Ronald",Republican
Illinois,1983,"Reagan, Ronald",Republican
Illinois,1984,"Reagan, Ronald",Republican
Illinois,1985,"Reagan, Ronald",Republican
Illinois,1986,"Reagan, Ronald",Republican
Illinois,1987,"Reagan, Ronald",Republican
Illinois,1988,"Reagan, Ronald",Republican
Illinois,1989,"Bush, George H.W.",Republican
Illinois,1990,"Bush, George H.W.",Republican
Illinois,1991,"Bush, George H.W.",Republican
Illinois,1992,"Bush, George H.W.",Republican
Illinois,1993,"Clinton, Bill",Democrat
Illinois,1994,"Clinton, Bill",Democrat
Illinois,1995,"Clinton, Bill",Democrat
Illinois,1996,"Clinton, Bill",Democrat
Illinois,1997,"Clinton, Bill",Democrat
Illinois,1998,"Clinton, Bill",Democrat
Illinois,1999,"Clinton, Bill",Democrat
Illinois,2000,"Clinton, Bill",Democrat
Illinois,2001,"Gore, Al",Democrat
Illinois,2002,"Gore, Al",Democrat
Illinois,2003,"Gore, Al",Democrat
Illinois,2004,"Gore, Al",Democrat
Illinois,2005,"Kerry, John",Democrat
Indiana,1981,"Reagan, Ronald",Republican
Indiana,1982,"Reagan, Ronald",Republican
Indiana,1983,"Reagan, Ronald",Republican
Indiana,1984,"Reagan, Ronald",Republican
Indiana,1985,"Reagan, Ronald",Republican
Indiana,1986,"Reagan, Ronald",Republican
Indiana,1987,"Reagan, Ronald",Republican
Indiana,1988,"Reagan, Ronald",Republican
Indiana,1989,"Bush, George H.W.",Republican
Indiana,1990,"Bush, George H.W.",Republican
Indiana,1991,"Bush, George H.W.",Republican
Indiana,1992,"Bush, George H.W.",Republican
Indiana,1993,"Bush, George H.W.",Republican
Indiana,1994,"Bush, George H.W.",Republican
Indiana,1995,"Bush, George H.W.",Republican
Indiana,1996,"Bush, George H.W.",Republican
Indiana,1997,"Dole, Robert",Republican
Indiana,1998,"Dole, Robert",Republican
Indiana,1999,"Dole, Robert",Republican
Indiana,2000,"Dole, Robert",Republican
Indiana,2001,"Bush, George W.",Republican
Indiana,2002,"Bush, George W.",Republican
Indiana,2003,"Bush, George W.",Republican
Indiana,2004,"Bush, George W.",Republican
Indiana,2005,"Bush, George W.",Republican
Iowa,1981,"Reagan, Ronald",Republican
Iowa,1982,"Reagan, Ronald",Republican
Iowa,1983,"Reagan, Ronald",Republican
Iowa,1984,"Reagan, Ronald",Republican
Iowa,1985,"Reagan, Ronald",Republican
Iowa,1986,"Reagan, Ronald",Republican
Iowa,1987,"Reagan, Ronald",Republican
Iowa,1988,"Reagan, Ronald",Republican
Iowa,1989,"Dukakis, Michael",Democrat
Iowa,1990,"Dukakis, Michael",Democrat
Iowa,1991,"Dukakis, Michael",Democrat
Iowa,1992,"Dukakis, Michael",Democrat
Iowa,1993,"Clinton, Bill",Democrat
Iowa,1994,"Clinton, Bill",Democrat
Iowa,1995,"Clinton, Bill",Democrat
Iowa,1996,"Clinton, Bill",Democrat
Iowa,1997,"Clinton, Bill",Democrat
Iowa,1998,"Clinton, Bill",Democrat
Iowa,1999,"Clinton, Bill",Democrat
Iowa,2000,"Clinton, Bill",Democrat
Iowa,2001,"Gore, Al",Democrat
Iowa,2002,"Gore, Al",Democrat
Iowa,2003,"Gore, Al",Democrat
Iowa,2004,"Gore, Al",Democrat
Iowa,2005,"Bush, George W.",Republican
Kansas,1981,"Reagan, Ronald",Republican
Kansas,1982,"Reagan, Ronald",Republican
Kansas,1983,"Reagan, Ronald",Republican
Kansas,1984,"Reagan, Ronald",Republican
Kansas,1985,"Reagan, Ronald",Republican
Kansas,1986,"Reagan, Ronald",Republican
Kansas,1987,"Reagan, Ronald",Republican
Kansas,1988,"Reagan, Ronald",Republican
Kansas,1989,"Bush, George H.W.",Republican
Kansas,1990,"Bush, George H.W.",Republican
Kansas,1991,"Bush, George H.W.",Republican
Kansas,1992,"Bush, George H.W.",Republican
Kansas,1993,"Bush, George H.W.",Republican
Kansas,1994,"Bush, George H.W.",Republican
Kansas,1995,"Bush, George H.W.",Republican
Kansas,1996,"Bush, George H.W.",Republican
Kansas,1997,"Dole, Robert",Republican
Kansas,1998,"Dole, Robert",Republican
Kansas,1999,"Dole, Robert",Republican
Kansas,2000,"Dole, Robert",Republican
Kansas,2001,"Bush, George W.",Republican
Kansas,2002,"Bush, George W.",Republican
Kansas,2003,"Bush, George W.",Republican
Kansas,2004,"Bush, George W.",Republican
Kansas,2005,"Bush, George W.",Republican
Kentucky,1981,"Reagan, Ronald",Republican
Kentucky,1982,"Reagan, Ronald",Republican
Kentucky,1983,"Reagan, Ronald",Republican
Kentucky,1984,"Reagan, Ronald",Republican
Kentucky,1985,"Reagan, Ronald",Republican
Kentucky,1986,"Reagan, Ronald",Republican
Kentucky,1987,"Reagan, Ronald",Republican
Kentucky,1988,"Reagan, Ronald",Republican
Kentucky,1989,"Bush, George H.W.",Republican
Kentucky,1990,"Bush, George H.W.",Republican
Kentucky,1991,"Bush, George H.W.",Republican
Kentucky,1992,"Bush, George H.W.",Republican
Kentucky,1993,"Clinton, Bill",Democrat
Kentucky,1994,"Clinton, Bill",Democrat
Kentucky,1995,"Clinton, Bill",Democrat
Kentucky,1996,"Clinton, Bill",Democrat
Kentucky,1997,"Clinton, Bill",Democrat
Kentucky,1998,"Clinton, Bill",Democrat
Kentucky,1999,"Clinton, Bill",Democrat
Kentucky,2000,"Clinton, Bill",Democrat
Kentucky,2001,"Bush, George W.",Republican
Kentucky,2002,"Bush, George W.",Republican
Kentucky,2003,"Bush, George W.",Republican
Kentucky,2004,"Bush, George W.",Republican
Kentucky,2005,"Bush, George W.",Republican
Louisiana,1981,"Reagan, Ronald",Republican
Louisiana,1982,"Reagan, Ronald",Republican
Louisiana,1983,"Reagan, Ronald",Republican
Louisiana,1984,"Reagan, Ronald",Republican
Louisiana,1985,"Reagan, Ronald",Republican
Louisiana,1986,"Reagan, Ronald",Republican
Louisiana,1987,"Reagan, Ronald",Republican
Louisiana,1988,"Reagan, Ronald",Republican
Louisiana,1989,"Bush, George H.W.",Republican
Louisiana,1990,"Bush, George H.W.",Republican
Louisiana,1991,"Bush, George H.W.",Republican
Louisiana,1992,"Bush, George H.W.",Republican
Louisiana,1993,"Clinton, Bill",Democrat
Louisiana,1994,"Clinton, Bill",Democrat
Louisiana,1995,"Clinton, Bill",Democrat
Louisiana,1996,"Clinton, Bill",Democrat
Louisiana,1997,"Clinton, Bill",Democrat
Louisiana,1998,"Clinton, Bill",Democrat
Louisiana,1999,"Clinton, Bill",Democrat
Louisiana,2000,"Clinton, Bill",Democrat
Louisiana,2001,"Bush, George W.",Republican
Louisiana,2002,"Bush, George W.",Republican
Louisiana,2003,"Bush, George W.",Republican
Louisiana,2004,"Bush, George W.",Republican
Louisiana,2005,"Bush, George W.",Republican
Maine,1981,"Reagan, Ronald",Republican
Maine,1982,"Reagan, Ronald",Republican
Maine,1983,"Reagan, Ronald",Republican
Maine,1984,"Reagan, Ronald",Republican
Maine,1985,"Reagan, Ronald",Republican
Maine,1986,"Reagan, Ronald",Republican
Maine,1987,"Reagan, Ronald",Republican
Maine,1988,"Reagan, Ronald",Republican
Maine,1989,"Bush, George H.W.",Republican
Maine,1990,"Bush, George H.W.",Republican
Maine,1991,"Bush, George H.W.",Republican
Maine,1992,"Bush, George H.W.",Republican
Maine,1993,"Clinton, Bill",Democrat
Maine,1994,"Clinton, Bill",Democrat
Maine,1995,"Clinton, Bill",Democrat
Maine,1996,"Clinton, Bill",Democrat
Maine,1997,"Clinton, Bill",Democrat
Maine,1998,"Clinton, Bill",Democrat
Maine,1999,"Clinton, Bill",Democrat
Maine,2000,"Clinton, Bill",Democrat
Maine,2001,"Gore, Al",Democrat
Maine,2002,"Gore, Al",Democrat
Maine,2003,"Gore, Al",Democrat
Maine,2004,"Gore, Al",Democrat
Maine,2005,"Kerry, John",Democrat
Maryland,1981,"Carter, Jimmy",Democrat
Maryland,1982,"Carter, Jimmy",Democrat
Maryland,1983,"Carter, Jimmy",Democrat
Maryland,1984,"Carter, Jimmy",Democrat
Maryland,1985,"Reagan, Ronald",Republican
Maryland,1986,"Reagan, Ronald",Republican
Maryland,1987,"Reagan, Ronald",Republican
Maryland,1988,"Reagan, Ronald",Republican
Maryland,1989,"Bush, George H.W.",Republican
Maryland,1990,"Bush, George H.W.",Republican
Maryland,1991,"Bush, George H.W.",Republican
Maryland,1992,"Bush, George H.W.",Republican
Maryland,1993,"Clinton, Bill",Democrat
Maryland,1994,"Clinton, Bill",Democrat
Maryland,1995,"Clinton, Bill",Democrat
Maryland,1996,"Clinton, Bill",Democrat
Maryland,1997,"Clinton, Bill",Democrat
Maryland,1998,"Clinton, Bill",Democrat
Maryland,1999,"Clinton, Bill",Democrat
Maryland,2000,"Clinton, Bill",Democrat
Maryland,2001,"Gore, Al",Democrat
Maryland,2002,"Gore, Al",Democrat
Maryland,2003,"Gore, Al",Democrat
Maryland,2004,"Gore, Al",Democrat
Maryland,2005,"Kerry, John",Democrat
Massachusetts,1981,"Reagan, Ronald",Republican
Massachusetts,1982,"Reagan, Ronald",Republican
Massachusetts,1983,"Reagan, Ronald",Republican
Massachusetts,1984,"Reagan, Ronald",Republican
Massachusetts,1985,"Reagan, Ronald",Republican
Massachusetts,1986,"Reagan, Ronald",Republican
Massachusetts,1987,"Reagan, Ronald",Republican
Massachusetts,1988,"Reagan, Ronald",Republican
Massachusetts,1989,"Dukakis, Michael",Democrat
Massachusetts,1990,"Dukakis, Michael",Democrat
Massachusetts,1991,"Dukakis, Michael",Democrat
Massachusetts,1992,"Dukakis, Michael",Democrat
Massachusetts,1993,"Clinton, Bill",Democrat
Massachusetts,1994,"Clinton, Bill",Democrat
Massachusetts,1995,"Clinton, Bill",Democrat
Massachusetts,1996,"Clinton, Bill",Democrat
Massachusetts,1997,"Clinton, Bill",Democrat
Massachusetts,1998,"Clinton, Bill",Democrat
Massachusetts,1999,"Clinton, Bill",Democrat
Massachusetts,2000,"Clinton, Bill",Democrat
Massachusetts,2001,"Gore, Al",Democrat
Massachusetts,2002,"Gore, Al",Democrat
Massachusetts,2003,"Gore, Al",Democrat
Massachusetts,2004,"Gore, Al",Democrat
Massachusetts,2005,"Kerry, John",Democrat
Michigan,1981,"Reagan, Ronald",Republican
Michigan,1982,"Reagan, Ronald",Republican
Michigan,1983,"Reagan, Ronald",Republican
Michigan,1984,"Reagan, Ronald",Republican
Michigan,1985,"Reagan, Ronald",Republican
Michigan,1986,"Reagan, Ronald",Republican
Michigan,1987,"Reagan, Ronald",Republican
Michigan,1988,"Reagan, Ronald",Republican
Michigan,1989,"Bush, George H.W.",Republican
Michigan,1990,"Bush, George H.W.",Republican
Michigan,1991,"Bush, George H.W.",Republican
Michigan,1992,"Bush, George H.W.",Republican
Michigan,1993,"Clinton, Bill",Democrat
Michigan,1994,"Clinton, Bill",Democrat
Michigan,1995,"Clinton, Bill",Democrat
Michigan,1996,"Clinton, Bill",Democrat
Michigan,1997,"Clinton, Bill",Democrat
Michigan,1998,"Clinton, Bill",Democrat
Michigan,1999,"Clinton, Bill",Democrat
Michigan,2000,"Clinton, Bill",Democrat
Michigan,2001,"Gore, Al",Democrat
Michigan,2002,"Gore, Al",Democrat
Michigan,2003,"Gore, Al",Democrat
Michigan,2004,"Gore, Al",Democrat
Michigan,2005,"Kerry, John",Democrat
Minnesota,1981,"Carter, Jimmy",Democrat
Minnesota,1982,"Carter, Jimmy",Democrat
Minnesota,1983,"Carter, Jimmy",Democrat
Minnesota,1984,"Carter, Jimmy",Democrat
Minnesota,1985,"Mondale, Walter",Democrat
Minnesota,1986,"Mondale, Walter",Democrat
Minnesota,1987,"Mondale, Walter",Democrat
Minnesota,1988,"Mondale, Walter",Democrat
Minnesota,1989,"Dukakis, Michael",Democrat
Minnesota,1990,"Dukakis, Michael",Democrat
Minnesota,1991,"Dukakis, Michael",Democrat
Minnesota,1992,"Dukakis, Michael",Democrat
Minnesota,1993,"Clinton, Bill",Democrat
Minnesota,1994,"Clinton, Bill",Democrat
Minnesota,1995,"Clinton, Bill",Democrat
Minnesota,1996,"Clinton, Bill",Democrat
Minnesota,1997,"Clinton, Bill",Democrat
Minnesota,1998,"Clinton, Bill",Democrat
Minnesota,1999,"Clinton, Bill",Democrat
Minnesota,2000,"Clinton, Bill",Democrat
Minnesota,2001,"Gore, Al",Democrat
Minnesota,2002,"Gore, Al",Democrat
Minnesota,2003,"Gore, Al",Democrat
Minnesota,2004,"Gore, Al",Democrat
Minnesota,2005,"Kerry, John",Democrat
Mississippi,1981,"Reagan, Ronald",Republican
Mississippi,1982,"Reagan, Ronald",Republican
Mississippi,1983,"Reagan, Ronald",Republican
Mississippi,1984,"Reagan, Ronald",Republican
Mississippi,1985,"Reagan, Ronald",Republican
Mississippi,1986,"Reagan, Ronald",Republican
Mississippi,1987,"Reagan, Ronald",Republican
Mississippi,1988,"Reagan, Ronald",Republican
Mississippi,1989,"Bush, George H.W.",Republican
Mississippi,1990,"Bush, George H.W.",Republican
Mississippi,1991,"Bush, George H.W.",Republican
Mississippi,1992,"Bush, George H.W.",Republican
Mississippi,1993,"Bush, George H.W.",Republican
Mississippi,1994,"Bush, George H.W.",Republican
Mississippi,1995,"Bush, George H.W.",Republican
Mississippi,1996,"Bush, George H.W.",Republican
Mississippi,1997,"Dole, Robert",Republican
Mississippi,1998,"Dole, Robert",Republican
Mississippi,1999,"Dole, Robert",Republican
Mississippi,2000,"Dole, Robert",Republican
Mississippi,2001,"Bush, George W.",Republican
Mississippi,2002,"Bush, George W.",Republican
Mississippi,2003,"Bush, George W.",Republican
Mississippi,2004,"Bush, George W.",Republican
Mississippi,2005,"Bush, George W.",Republican
Missouri,1981,"Reagan, Ronald",Republican
Missouri,1982,"Reagan, Ronald",Republican
Missouri,1983,"Reagan, Ronald",Republican
Missouri,1984,"Reagan, Ronald",Republican
Missouri,1985,"Reagan, Ronald",Republican
Missouri,1986,"Reagan, Ronald",Republican
Missouri,1987,"Reagan, Ronald",Republican
Missouri,1988,"Reagan, Ronald",Republican
Missouri,1989,"Bush, George H.W.",Republican
Missouri,1990,"Bush, George H.W.",Republican
Missouri,1991,"Bush, George H.W.",Republican
Missouri,1992,"Bush, George H.W.",Republican
Missouri,1993,"Clinton, Bill",Democrat
Missouri,1994,"Clinton, Bill",Democrat
Missouri,1995,"Clinton, Bill",Democrat
Missouri,1996,"Clinton, Bill",Democrat
Missouri,1997,"Clinton, Bill",Democrat
Missouri,1998,"Clinton, Bill",Democrat
Missouri,1999,"Clinton, Bill",Democrat
Missouri,2000,"Clinton, Bill",Democrat
Missouri,2001,"Bush, George W.",Republican
Missouri,2002,"Bush, George W.",Republican
Missouri,2003,"Bush, George W.",Republican
Missouri,2004,"Bush, George W.",Republican
Missouri,2005,"Bush, George W.",Republican
Montana,1981,"Reagan, Ronald",Republican
Montana,1982,"Reagan, Ronald",Republican
Montana,1983,"Reagan, Ronald",Republican
Montana,1984,"Reagan, Ronald",Republican
Montana,1985,"Reagan, Ronald",Republican
Montana,1986,"Reagan, Ronald",Republican
Montana,1987,"Reagan, Ronald",Republican
Montana,1988,"Reagan, Ronald",Republican
Montana,1989,"Bush, George H.W.",Republican
