state,year,tax millions outflow,cash millions intake,per capita outflow,state rank outflow,per capita intake,state rank intake,intake to outflow ratio,state rank ratio
West Virginia,1992,5348,8276,2963,49,4586,22,1.44,6
West Virginia,1993,5654,9120,3116,49,5025,15,1.52,4
West Virginia,1994,6085,9282,3344,49,5101,16,1.49,4
West Virginia,1995,6386,10208,3503,49,5600,10,1.59,2
West Virginia,1996,6650,10066,3648,49,5522,12,1.56,3
West Virginia,1997,6961,10298,3825,49,5658,13,1.58,2
West Virginia,1998,7279,10719,4007,49,5901,11,1.63,2
West Virginia,1999,7756,11135,4278,49,6143,10,1.60,5
West Virginia,2000,8297,11751,4588,48,6497,12,1.61,4
West Virginia,2001,8285,12554,4595,49,6963,12,1.63,4
West Virginia,2002,7880,13362,4369,49,7409,12,1.66,5
West Virginia,2003,7538,14226,4170,49,7870,12,1.73,4
West Virginia,2004,7806,15183,4312,48,8387,11,1.79,4
West Virginia,2005,8815,16087,4861,48,8872,11,1.76,5
Wisconsin,1981,11557,9051,2448,27,1917,47,0.82,44
Wisconsin,1982,11475,9275,2427,29,1962,49,0.82,45
Wisconsin,1983,10763,10552,2279,27,2234,47,0.85,40
Wisconsin,1984,11946,10854,2525,26,2294,46,0.85,45
Wisconsin,1985,12981,11457,2736,27,2415,49,0.83,45
Wisconsin,1986,13560,12186,2852,27,2564,49,0.84,43
Wisconsin,1987,15133,12192,3171,24,2555,49,0.83,43
Wisconsin,1988,16184,13127,3364,23,2728,48,0.86,42
Wisconsin,1989,17428,14617,3595,24,3015,47,0.90,40
Wisconsin,1990,18125,15152,3705,25,3097,49,0.86,42
Wisconsin,1991,18799,16340,3798,24,3301,50,0.83,43
Wisconsin,1992,19691,18050,3930,23,3603,49,0.82,43
Wisconsin,1993,21067,19013,4155,22,3750,49,0.81,42
Wisconsin,1994,23157,19635,4522,22,3834,49,0.82,42
Wisconsin,1995,24729,19839,4781,22,3836,50,0.80,43
Wisconsin,1996,26517,20095,5081,21,3851,50,0.81,43
Wisconsin,1997,28707,21167,5461,22,4026,49,0.84,42
Wisconsin,1998,30989,21913,5858,21,4142,48,0.86,42
Wisconsin,1999,32432,22757,6092,21,4274,48,0.87,40
Wisconsin,2000,35082,24308,6540,21,4532,48,0.90,37
Wisconsin,2001,34361,26681,6366,21,4943,49,0.89,38
Wisconsin,2002,32516,28845,5988,21,5312,48,0.86,39
Wisconsin,2003,31257,30237,5725,21,5538,48,0.82,41
Wisconsin,2004,32535,31554,5925,20,5747,47,0.83,39
Wisconsin,2005,36961,33749,6695,21,6113,47,0.86,39
Wyoming,1981,1567,1568,3218,3,3219,7,1.02,28
Wyoming,1982,1580,1091,3144,4,2170,42,0.68,50
Wyoming,1983,1408,1228,2765,10,2411,39,0.72,47
Wyoming,1984,1470,1471,2904,13,2906,23,0.92,34
Wyoming,1985,1549,1552,3092,14,3098,23,0.94,35
Wyoming,1986,1489,1523,2998,21,3067,30,0.96,36
Wyoming,1987,1495,1535,3105,28,3187,30,1.06,28
Wyoming,1988,1544,1626,3299,25,3474,23,1.11,26
Wyoming,1989,1689,1716,3672,22,3730,21,1.09,25
Wyoming,1990,1788,1850,3930,21,4067,17,1.08,26
Wyoming,1991,1882,1939,4111,19,4235,25,1.00,30
Wyoming,1992,1933,2128,4161,20,4581,23,1.02,29
Wyoming,1993,2079,2214,4411,20,4697,26,0.99,30
Wyoming,1994,2241,2344,4683,21,4899,22,1.04,28
Wyoming,1995,2357,2492,4871,21,5149,21,1.08,23
Wyoming,1996,2609,2504,5353,18,5137,21,1.03,27
Wyoming,1997,2875,2612,5878,16,5340,21,1.03,26
Wyoming,1998,3113,2748,6348,15,5603,17,1.06,25
Wyoming,1999,3393,2931,6903,12,5963,14,1.06,27
Wyoming,2000,3846,3221,7791,11,6526,11,1.08,27
Wyoming,2001,3760,3588,7610,10,7262,9,1.09,27
Wyoming,2002,3438,3666,6906,12,7365,14,1.06,29
Wyoming,2003,3313,4226,6614,10,8437,7,1.16,22
Wyoming,2004,3542,4393,7020,9,8707,7,1.13,23
Wyoming,2005,4209,4782,8286,7,9414,8,1.11,23
District of Columbia,1981,2058,12442,3223,0,19485,0,6.08,0
District of Columbia,1982,2099,11089,3307,0,17467,0,5.28,0
District of Columbia,1983,2036,12115,3217,0,19143,0,5.80,0
District of Columbia,1984,2289,12866,3615,0,20321,0,5.54,0
District of Columbia,1985,2495,13613,3934,0,21463,0,5.39,0
District of Columbia,1986,2608,14436,4092,0,22650,0,5.47,0
District of Columbia,1987,2885,14530,4527,0,22801,0,5.05,0
District of Columbia,1988,3006,15257,4755,0,24139,0,5.12,0
District of Columbia,1989,3257,16162,5205,0,25829,0,5.03,0
District of Columbia,1990,3359,17686,5506,0,28992,0,5.30,0
District of Columbia,1991,3378,19610,5612,0,32576,0,5.77,0
District of Columbia,1992,3414,20341,5705,0,33993,0,5.87,0
District of Columbia,1993,3739,20718,6275,0,34770,0,5.46,0
District of Columbia,1994,4065,22061,6881,0,37344,0,5.40,0
District of Columbia,1995,4059,21912,6967,0,37604,0,5.39,0
District of Columbia,1996,4245,22678,7390,0,39480,0,5.38,0
District of Columbia,1997,4544,23125,7987,0,40649,0,5.18,0
District of Columbia,1998,4899,24041,8658,0,42486,0,5.05,0
District of Columbia,1999,5142,26232,9038,0,46105,0,5.25,0
District of Columbia,2000,5801,27418,10163,0,48031,0,4.90,0
District of Columbia,2001,5972,30953,10372,0,53759,0,5.28,0
District of Columbia,2002,5783,33500,9996,0,57906,0,5.74,0
District of Columbia,2003,5477,34750,9479,0,60138,0,6.18,0
District of Columbia,2004,5843,37630,10089,0,64974,0,6.28,0
District of Columbia,2005,6735,37859,11582,0,65109,0,5.55,0
